,joblinks
0,https://de.linkedin.com/jobs/view/iiot-business-data-analyst-m-f-d-at-factorypal-3915725444?position=1&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=zV9VMf0h6xucoKryj%2B%2BsYA%3D%3D&trk=public_jobs_jserp-result_search-card
1,https://de.linkedin.com/jobs/view/marketing-analyst-media-analytics-all-genders-at-zalando-3913343050?position=2&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=N78PRqv8TOTYA6xPfz%2BdjQ%3D%3D&trk=public_jobs_jserp-result_search-card
2,https://de.linkedin.com/jobs/view/digital-marketing-analyst-at-blinkist-3909197700?position=3&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=mlJzFHesScLgpKwYTD702w%3D%3D&trk=public_jobs_jserp-result_search-card
3,https://de.linkedin.com/jobs/view/junior-marketing-analyst-f-m-d-at-almedia-3891670389?position=4&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=Ljx0SYogRO6B17XsK7nKsA%3D%3D&trk=public_jobs_jserp-result_search-card
4,https://de.linkedin.com/jobs/view/senior-data-analyst-online-marketing-m-w-d-at-denkwerk-gmbh-3909675559?position=5&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=PAFmBbMcPaKr8pYQ6QFspg%3D%3D&trk=public_jobs_jserp-result_search-card
5,https://de.linkedin.com/jobs/view/senior-data-analyst-business-analytics-supply-acquisition-at-getyourguide-3857987085?position=6&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=dYJ4by%2FLjwWyPHUKKCOq5A%3D%3D&trk=public_jobs_jserp-result_search-card
6,https://de.linkedin.com/jobs/view/business-analyst-data-ai-life-sciences-w-m-d-at-capgemini-3760808449?position=7&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=4bxSymGAcmgNV1hZh5%2ByQw%3D%3D&trk=public_jobs_jserp-result_search-card
7,https://de.linkedin.com/jobs/view/marketing-analyst-at-navan-3915934229?position=8&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=h1D0r1gU2u5PSJhEeLLFWQ%3D%3D&trk=public_jobs_jserp-result_search-card
8,https://de.linkedin.com/jobs/view/senior-marketing-analyst-crm-m-f-d-at-momox-3918156821?position=9&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=ZwJVfmEpMX%2FXvN8YSoWJKw%3D%3D&trk=public_jobs_jserp-result_search-card
9,https://de.linkedin.com/jobs/view/senior-marketing-analyst-crm-m-f-d-at-momox-3864883525?position=10&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=dcz0dKh2mRIufc7uuB47TQ%3D%3D&trk=public_jobs_jserp-result_search-card
10,https://de.linkedin.com/jobs/view/businessanalyst-in-m-w-div-at-deutsche-rentenversicherung-bund-3706794548?position=12&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=gWcWsobAUgDTEP4P18O8Lw%3D%3D&trk=public_jobs_jserp-result_search-card
11,https://de.linkedin.com/jobs/view/senior-email-marketing-analyst-at-lovehoney-group-3879829277?position=14&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=CG0%2BMicJoNA0nM0wcHGzjQ%3D%3D&trk=public_jobs_jserp-result_search-card
12,https://de.linkedin.com/jobs/view/denkwerk-gmbh-senior-data-analyst-online-marketing-m-w-d-at-join-com-3835585043?position=15&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=EMFkkx2wqGHnoZXGYvcEWA%3D%3D&trk=public_jobs_jserp-result_search-card
13,https://de.linkedin.com/jobs/view/senior-analyst-commercial-marketplace-at-instapro-group-3913331034?position=17&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=9QSQijf%2FMNzIiBU%2BaWyWZw%3D%3D&trk=public_jobs_jserp-result_search-card
14,https://de.linkedin.com/jobs/view/senior-marketing-analyst-m-f-d-at-koro-3862273814?position=19&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=Ltu4cpGRgjXt5gqsojISgQ%3D%3D&trk=public_jobs_jserp-result_search-card
15,https://de.linkedin.com/jobs/view/senior-analyst-commercial-marketplace-at-instapro-group-3918345917?position=20&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=OEEr%2FIwwLltc303JHLc5Bw%3D%3D&trk=public_jobs_jserp-result_search-card
16,https://de.linkedin.com/jobs/view/market-analyst-pharma-otc-m-w-d-at-bausch-%2B-lomb-3909590063?position=21&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=5f6I1PCoKBlQiZB3HLZ8Qg%3D%3D&trk=public_jobs_jserp-result_search-card
17,https://de.linkedin.com/jobs/view/consumer-market-insights-cmi-manager-f-m-d-at-the-heineken-company-3909782977?position=22&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=F5KL3gXDT7sLbzYU1AWCkQ%3D%3D&trk=public_jobs_jserp-result_search-card
18,https://de.linkedin.com/jobs/view/digital-marketing-analyst-m-w-d-at-peak-ace-ag-3868882698?position=23&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=8FJsi5Y8XY5WFjR2Lo3e0w%3D%3D&trk=public_jobs_jserp-result_search-card
